Term,ICD_clean
275549008: H/O: ulcerative colitis,K51.9
26006005: Allergic gastroenteritis,K52.2
266451002: Allergic gastroenteritis and colitis,K52.2
72042002: Incontinence of feces,K52.2
81781000119107: Infant formula intolerance,K52.2
15911003: Cow's milk protein sensitivity,K52.21
30304000: Allergic colitis,K52.21
737315000: Food-protein induced enterocolitis syndrome,K52.21
418471000: Propensity to adverse reactions to food,K52.21
359804008: Eosinophilic gastroenteritis,K52.81
22231002: Allergic enteritis,K52.89
236071009: Chronic diarrhea,K52.9
25374005: Gastroenteritis,K52.9
4477: Gastroenteritis,K52.9
64226004: Colitis,K52.9
64613007: Enteritis of small intestine,K52.9
43752006: Enterocolitis,K52.90
49631001: Acute mesenteric adenitis,K55.0
235766003: Ulceration of large intestine,K55.9
81060008: Intestinal obstruction,K56.0
235828008: Chronic intestinal pseudo-obstruction,K56.1
49723003: Intussusception of intestine,K56.1
6441003: Volvulus of colon,K56.1
710572000: Intestinal obstruction co-occurrent and due to decreased peristalsis,K56.1
9707006: Intestinal volvulus,K56.1
197048002: Enteric intussusception,K56.1
429196001: Partial obstruction of small bowel,K56.1
126765001: Gastrointestinal obstruction,K56.2
4407: Intestinal malrotation,K56.2
197058003: Volvulus of the small bowel,K56.2
458422009: Malrotation of intestine with midgut volvulus,K56.2
27673007: Intussusception of colon,K56.3
29162007: Fecal impaction of colon,K56.41
4433: Ileus (gastrointestinal hypomobility),K56.5
281255004: Small bowel obstruction,K56.6
4448: Bowel obstruction,K56.6
197056004: Pseudo-obstruction of gastrointestinal tract,K56.7
235825006: Pseudo-obstruction of intestine,K56.7
445163001: Bleeding Meckel's diverticulum,K57.0
31113003: Diverticulum,K57.90
449890002: Functional abdominal pain syndrome,K58.0
440630006: Irritable bowel syndrome characterized by constipation,K58.01
10743008: Irritable bowel syndrome,K58.9
444702007: Irregular bowel habits,K58.9
236069009: Chronic constipation,K59.0
425671009: Neurogenic bowel,K59.0
111360009: Obstipation,K59.0
14760008: Constipation,K59.0
197118003: Constipation - functional,K59.0
197119006: Acute constipation,K59.0
4427: Constipation,K59.00
58230007: Alteration in bowel elimination: constipation,K59.00
31499008: Chronic constipation with overflow,K59.03
4423: Diarrhea,K59.1
60414003: Acquired lactase deficiency,K59.1
62315008: Diarrhea,K59.1
700094005: Milk intolerance,K59.1
782415009: Intolerance to lactose,K59.1
249517009: Constipation alternates with diarrhea,K59.1
35298007: Slow transit constipation,K59.3
432994008: Constipation due to neurogenic bowel,K59.3
191983006: Bruxism (teeth grinding),K59.4
66379009: Bacterial overgrowth syndrome,K59.8
253785008: Generalized intestinal dysmotility,K59.8
422784003: Abnormal consistency of stool,K59.9
77880009: Rectal pain,K59.9
65619001: Rectovaginal fistula,K60.1
30037006: Anal fissure,K60.3
58103005: Perianal fistula,K60.3
197155003: Intersphincteric fistula,K60.3
235796008: Perianal Crohn's disease,K60.4
235790002: External large bowel fistula,K60.5
428794004: Fistula,K60.9
82127005: Perianal abscess,K61
35708002: Abscess of perineum,K61.2
197166005: Rectal abscess,K61.3
142241000119104: Fecal soiling co-occurrent and due to fecal incontinence,K62.1
440421009: Fecal incontinence due to anorectal disorder,K62.19
57773001: Rectal prolapse,K62.2
69914001: Stricture of anus,K62.3
12063002: Rectal hemorrhage,K62.5
414992000: Painless rectal bleeding,K62.5
90446007: Pruritus ani,K62.89
278851001: Rectal discharge,K62.89
117631000119103: Pneumatosis coli,K63.1
4435: Intestinal perforation,K63.1
56905009: Perforation of intestine,K63.1
4450: Gastrointestinal problem acquired,K63.4
107938000: Small intestine excision,K63.5
446081009: Small bowel bacterial overgrowth syndrome,K63.89
11836002: Primary bacterial peritonitis,K65.0
17204006: Pneumoperitoneum,K65.0
75100008: Abdominal abscess,K65.1
9209005: Acute abdomen,K65.9
45602008: Lysis of adhesions of peritoneum,K66.0
18165001: Jaundice,K71.0
197270009: Acute hepatic failure,K71.0
33688009: Cholestasis,K71.0
4452: Acute hepatic failure,K72.0
59927004: Hepatic failure,K72.00
76783007: Chronic hepatitis,K73.9
19943007: Cirrhosis of liver,K74.6
4466: Hepatic cirrhosis,K74.6
328383001: Chronic liver disease,K74.61
442191002: Steatohepatitis,K75.81
442685003: Nonalcoholic steatohepatitis,K75.81
4465: Steatohepatitis,K75.81
197315008: Non-alcoholic fatty liver,K76.0
197321007: Steatosis of liver,K76.0
4462: Midline liver,K76.0
2809: Anomalous hepatic venous drainage,K76.6
307223005: Disorder of hepatic portal vein,K76.6
34742003: Portal hypertension,K76.6
715140008: Nodular regenerative hyperplasia of liver,K76.7
4449: Hepatic dysfunction,K76.8
85057007: Liver cyst,K76.8
427022004: Liver disease due to cystic fibrosis,K76.81
235856003: Disease of liver,K76.9
442684004: Imaging of liver abnormal,K76.9
707724006: Elevated liver enzymes level,K76.9
166643006: Liver enzymes abnormal,K76.9
256896000: Gallstone,K80
36483003: Calculus of bile duct with cholecystitis,K80.10
70342003: Cholelithiasis without obstruction,K80.20
45595009: Laparoscopic cholecystectomy,K80.5
235919008: Gallstone,K80.9
266474003: Biliary calculus,K80.9
4453: Gallstones,K80.9
65275009: Acute cholecystitis,K81.0
20824003: Chronic cholecystitis,K81.1
76581006: Cholecystitis,K81.9
197433003: Polyp of gallbladder,K82.8
4430: Gall bladder disorder,K82.9
6215006: Acute cholangitis,K83.0
235921003: Biliary stricture,K83.1
30144000: Obstruction of bile duct,K83.1
43797002: Stricture of bile duct,K83.1
44018007: Cholestatic jaundice syndrome,K83.1
4405: Biliary atresia,K83.1
37389005: Biliary colic,K83.5
"4429: Biliary system (gall bladder, bile ducts) disorder",K83.9
95563007: Gallstone pancreatitis,K85.1
4399003: Acute hemorrhagic pancreatitis,K85.8
197456007: Acute pancreatitis,K85.9
75694006: Pancreatitis,K85.9
233870001: Recurrent pancreatitis,K86.1
235494005: Chronic pancreatitis,K86.1
85921000119107: History of pancreatitis,K86.1
111374002: Pseudocyst of pancreas,K86.3
197458008: Acute recurrent pancreatitis,K86.89
396331005: Celiac disease,K90.0
66187002: Fatty stool,K90.0
716665002: Chronic intestinal failure,K90.0
141001000119104: Milk protein enteropathy,K90.0
441831003: Gluten sensitivity,K90.0
267425008: Lactose intolerance,K90.1
66972006: Protein-losing enteropathy,K90.1
4408: Protein losing enteropathy,K90.3
4436: Short gut syndrome,K90.3
32230006: Malabsorption syndrome,K90.9
371090009: Cholestasis of parenteral nutrition,K91.0
71419002: Bilious vomiting,K91.0
80193009: Postgastric surgery syndrome,K91.1
26629001: Short bowel syndrome,K91.2
4434: Jejunostomy,K91.2
236088002: Duodenal anastomotic leak,K91.3
426032000: Malfunction of gastrostomy tube,K91.89
446336000: Leakage from duodenostomy,K91.89
4431: Hematemesis,K92.0
37372002: Upper gastrointestinal bleeding,K92.0
27719009: Acute gastrointestinal hemorrhage,K92.1
2901004: Melena,K92.1
35064005: Dark stools,K92.1
4432: Hematochezia (bloody stool),K92.1
4438: Melena,K92.1
59614000: Occult blood in stools,K92.1
95516005: Gastrointestinal irritation,K92.1
38938002: Acute upper gastrointestinal hemorrhage,K92.2
4454: GI bleeding,K92.2
74474003: Gastrointestinal hemorrhage,K92.2
4421: Gastrointestinal disorder,K92.9
300439004: Gastrointestinal tract problem,K93.9
309773000: Complication of gastrostomy,K94.0
1086961000119105: Gastrostomy hemorrhage,K94.11
1162771004: Peristomal leakage from gastrostomy,K94.4
361159009: Mucous fistula stoma,K94.7
297189001: Colostomy prolapse,K94.8
297190005: Ileostomy prolapse,K94.8
200727009: Scalp infection,L00.9
399102002: Bullous staphylococcal impetigo,L01.0
399183005: Impetigo bullosa,L01.0
48277006: Impetigo,L01.0
128477000: Abscess,L02
200751004: Abscess of face,L02.0
309083007: Abscess of back,L02.01
31399009: Abscess of scalp,L02.01
200676005: Cellulitis and abscess of buttock,L02.213
64576003: Abscess of buttock,L02.312
13802001: Abscess of axilla,L02.319
271760008: Pustule,L02.9
31928004: Abscess of skin AND/OR subcutaneous tissue,L02.9
444646006: Paronychia of finger,L03.0
71906005: Paronychia,L03.0
70637004: Cellulitis of toe,L03.01
10628271000119102: Paronychia of toe of right foot,L03.011
10633791000119100: Cellulitis of left hand,L03.012
388983002: Paronychia of toe,L03.031
200652002: Cellulitis of face,L03.211
51030006: Cellulitis of lip,L03.312
44428005: Cellulitis of buttock,L03.315
56644003: Cellulitis of umbilicus,L03.89
123951002: Cellulitis of skin,L03.90
128045006: Cellulitis,L03.90
402929007: Bacterial cellulitis,L03.90
8727: Cellulitis,L03.90
47639008: Cyst - pilonidal,L05.01
85224001: Pilonidal cyst with abscess,L05.01
16225231000119104: Pilonidal cyst,L05.01
432863009: Pilonidal disease,L05.90
421799001: Full thickness skin and subcutaneous tissue loss,L08.8
19824006: Infection of skin AND/OR subcutaneous tissue,L08.9
275441009: Superficial bacterial infection of skin,L08.9
24079001: Atopic dermatitis,L20
11011007: Acute infantile eczema,L20.0
36259009: Eczematous dermatitis of eyelid,L20.82
300924008: Eczema of face,L20.9
396348002: Acute eczema,L20.9
275887009: Scaly scalp,L21.0
62742006: Cradle cap,L21.0
156329007: Seborrheic dermatitis of scalp,L21.9
200767005: Pityriasis simplex,L21.9
50563003: Seborrheic dermatitis,L21.9
240718005: Chronic localized mucocutaneous candidiasis,L22
402276007: Irritant contact dermatitis due to incontinence,L22.22
91487003: Diaper rash,L22.9
40275004: Contact dermatitis,L23
200823002: Contact dermatitis due to poison ivy,L23.2
238583005: Saliva-induced contact dermatitis,L23.8
110979008: Irritant contact dermatitis,L24
111189002: Acute contact dermatitis,L25.0
367466007: Skin irritation,L25.9
28926001: Eruption due to drug,L27.0
53891004: Lichen simplex chronicus,L28.0
55608001: Prurigo simplex,L28.0
63501000: Prurigo nodularis,L28.0
67882000: Pruritus of vulva,L29.2
267802000: Pruritus of genital organs,L29.9
279333002: Pruritus of skin,L29.9
418363000: Itching of skin,L29.9
81418003: Nummular eczema,L30.0
402567004: Vesicular eczema of hands and/or feet,L30.1
419735006: Scaling eczema,L30.1
402296004: Pityriasis alba,L30.3
58759008: Intertrigo,L30.3
57092006: Flexural eczema,L30.4
238539001: Hand eczema,L30.9
428176004: Blisters of multiple sites,L30.9
43116000: Eczema,L30.9
44256003: Chronic eczema,L30.9
9014002: Psoriasis,L40.9
77252004: Pityriasis rosea,L42
702617007: Acute generalized exanthematous pustulosis,L49.8
51611005: Chronic urticaria,L50.0
74774004: Urticaria due to cold,L50.0
42265009: Idiopathic urticaria,L50.1
7632005: Dermatographic urticaria,L50.6
402409001: Episodic urticaria,L50.8
126485001: Urticaria,L50.9
302162004: Chronic idiopathic urticaria,L50.9
444827008: Erythema of skin,L53.9
247471006: Maculopapular eruption,L53.9
9140006: Skin sensitivity to radiation,L57.9
201108001: Ingrowing great toenail,L60.0
309085000: Toenail thickened,L60.1
9115004: Pili incarnati,L60.1
22743000: Onychomadesis,L60.3
247491004: Abnormality of nail tissue,L60.9
700189007: Abnormality of nail of toe,L60.9
87065009: Dystrophia unguium,L60.9
407551001: C/O: hair loss,L63.9
68225006: Alopecia areata,L63.9
87872006: Male pattern alopecia,L64.9
39479004: Telogen effluvium,L65.0
238725004: Non-scarring alopecia,L65.9
278040002: Loss of hair,L65.9
402694007: Dermatosis of scalp,L65.9
56317004: Alopecia,L65.9
247541001: Partial loss of hair,L65.9
29966009: Hypertrichosis,L67.9
13724007: Increased hair growth,L68.0
399939002: Hirsutism,L68.0
66520009: Female hirsutism,L68.0
11381005: Acne,L70.0
13277001: Cystic acne,L70.0
238745007: Nodulocystic acne,L70.0
247459000: Acne scar,L70.0
88616000: Acne vulgaris,L70.0
4659007: Acne fulminans,L70.9
238751002: Perioral dermatitis,L71.0
69741000: Hidradenitis,L73.0
59393003: Hidradenitis suppurativa,L73.2
13600006: Folliculitis,L73.9
721268005: Superficial folliculitis caused by bacterium,L73.9
274673004: Generalized hyperhidrosis,L74.5
312230002: Hyperhidrosis,L74.5
427794001: Primary focal hyperhidrosis,L74.5
56727007: Vitiligo,L80
23006000: Skin hypopigmented,L81.3
248216009: Complexion changes,L81.4
49765009: Hyperpigmentation of skin,L81.4
95348005: Postinflammatory skin pigmentation change,L81.4
3253007: Discoloration of skin,L81.9
46690002: Disorder of skin pigmentation,L81.9
238699007: Post-inflammatory hyperpigmentation,L81.9
201040000: Callosity,L84.0
211037008: Abrasion of trunk,L84.9
5132005: Keratosis pilaris,L85.0
89105000: Asteatosis cutis,L85.3
702757002: Severe dry skin,L85.9
1163224003: Pressure injury stage IV,L89.014
421076008: Pressure ulcer stage 1,L89.111
444768009: Chronic ulcer of sacral region,L89.3
225562005: Pressure ulcer of sacral region,L89.314
420597008: Pressure ulcer stage 4,L89.604
420324007: Pressure ulcer stage 2,L89.622
399912005: Pressure ulcer,L89.9
46742003: Skin ulcer,L89.9
8025: Pressure sore or ulcer,L89.90
238932004: Genital lichen sclerosus,L90.0
25674000: Lichen sclerosus et atrophicus,L90.0
201066002: Skin striae,L90.6
238828009: Anetoderma,L90.8
33659008: Keloid scar,L91.0
403857009: Multiple skin tags,L91.8
4054: Lupus erythematosus,L93.9
703938007: Inflammatory dermatosis,L93.9
200722003: Pyogenic granuloma,L98.0
284760000: Picking own skin,L98.1
238931006: Eosinophilic cellulitis,L98.6
121000119106: Lesion of skin of face,L98.8
247442005: Broken skin,L98.8
297959007: Granulation of skin,L98.8
871000119100: Lesion of scalp,L98.8
248306003: Fatty dimpling of skin,L98.89
70718000: Ulcus vulvae acutum,L98.89
4132: Skin disorder,L98.9
236124000: Peristomal skin complication,L98.9
48245008: Bacterial arthritis,M00.9
12579009: Familial Mediterranean fever,M04.2
430079001: Cryopyrin associated periodic syndrome,M04.8
165839004: Rheumatoid factor positive,M05.79
4055: Rheumatoid arthritis,M06.0
416956002: Undifferentiated inflammatory polyarthritis,M06.9
239802003: Juvenile psoriatic arthritis,M07.0
264516005: Dactylitis,M07.0
33339001: Psoriasis with arthropathy,M07.0
156370009: Psoriatic arthritis,M07.0
239803008: Juvenile psoriatic arthritis with psoriasis,M07.01
239804002: Juvenile psoriatic arthritis without psoriasis,M07.03
239796000: Juvenile chronic arthritis,M08.0
16208721000119109: Juvenile rheumatoid arthritis of right knee,M08.061
410502007: Juvenile idiopathic arthritis,M08.2
"410798004: Juvenile idiopathic arthritis, oligoarthritis",M08.4
1156817001: Extended onset antinuclear antibody positive juvenile idiopathic oligoarthritis,M08.4
24595009: Primary gout,M10.9
4057: Gout,M10.9
90560007: Gout,M10.9
703053001: Osteoarthritis of midfoot secondary to trauma,M12.67
1074791000119104: Inflammation of joint of both hands,M13.0
205057007: Bilateral dysplastic hip,M16.1
205056003: Unilateral dysplastic hip,M16.9
371081002: Arthritis of knee,M17.9
3723001: Arthritis,M19.9
122480009: Hallux valgus,M20.1
415692008: Bunion,M20.1
79353000: Tibia vara,M21.0
68701004: Acquired unequal leg length,M21.00
16979000: Acquired coxa valga,M21.05
1075181000119104: Acquired cavovarus deformity of right foot,M21.071
54583007: Acquired cubitus valgus,M21.09
52012001: Acquired genu valgum,M21.1
299330008: Knee joint valgus deformity,M21.11
299331007: Knee joint - varus deformity,M21.161
88562000: Acquired deformity of ankle AND/OR foot,M21.17
295051000119105: Acquired deformity of foot,M21.20
275353009: Supination deformity of the foot,M21.30
299229000: External tibial torsion,M21.31
53226007: Pes planus,M21.4
275336002: Short Achilles tendon,M21.40
10951003: Pronation of foot,M21.42
203541003: Overriding toes,M21.50
203534009: Acquired pes planus,M21.62
202290007: Equinus contracture of the ankle,M21.662
15713961000119103: Acquired cavovarus deformity of bilateral feet,M21.67
249807007: Plantarflexion deformity of foot,M21.671
249802001: Pes cavus,M21.7
87465003: Acquired equinovarus deformity,M21.70
205273005: Thumb in palm deformity,M21.81
45939007: Leg length inequality,M21.9
12067001: Acquired coxa vara,M21.951
249809005: Adductus deformity of foot,M21.96
429696002: Patellar instability,M22.0
263029007: Dislocation of patellofemoral joint,M22.20
250111002: Patellar maltracking,M22.49
1075581000119109: Instability of left patellofemoral joint,M22.9
239725005: Rupture of anterior cruciate ligament,M23.00
250107008: Anterior cruciate instability,M23.01
253953001: Dislocatable hip,M24.0
432473000: Femoral acetabular impingement,M24.159
298209007: Wrist joint laxity,M24.31
276380006: Hip unstable,M24.351
4116: Joint laxity (hypermobility),M24.4
298203008: Joint laxity,M24.4
202218004: Recurrent dislocation of shoulder - multidirectional,M24.41
308144002: Recurrent subluxation of the hip joint,M24.41
90116003: Contracture of joint of shoulder region,M24.41
298854003: Shoulder joint unstable,M24.41
239738002: Contracture of hip joint,M24.5
27911000: Laxity of ligament,M24.5
57048009: Contracture,M24.5
7890003: Contracture of joint,M24.5
239982000: Contracture of tendon of wrist and hand,M24.50
239734000: Contracture of elbow joint,M24.53
239735004: Contracture of wrist joint,M24.53
263057000: Subluxation of hip joint,M24.55
202283002: Flexion contracture of hip,M24.551
202289003: Flexion contracture of the knee,M24.56
11568002: Snapping hip,M24.561
253954007: Subluxatable hip,M24.561
267931000: Joint contracture of the ankle and/or foot,M24.571
305511000119107: Contracture of joint of right ankle,M24.571
86414002: Contracture of joint of hand,M24.60
202275008: Flexion contracture - wrist,M24.651
298945002: Wrist joint deformity,M24.651
15721881000119109: Contracture of joints of bilateral hands,M24.671
305431000119101: Contracture of joint of left ankle,M24.672
298171004: Ankle joint inflamed,M25.079
299414004: Swelling of ankle joint,M25.371
700382007: Chronic ankle instability,M25.372
299322007: Swelling of knee joint,M25.42
56608008: Pain in wrist,M25.5
57676002: Joint pain,M25.5
35678005: Multiple joint pain,M25.50
249918006: Shoulder stiff,M25.51
45326000: Shoulder pain,M25.519
202480001: Elbow joint pain,M25.522
74323005: Pain in elbow,M25.522
1076751000119100: Pain in left thumb,M25.532
299112005: Finger joint painful on movement,M25.542
49218002: Hip pain,M25.55
299308007: Hip joint painful on movement,M25.551
316781000119100: Pain of left hip joint,M25.552
11874791000119104: Bilateral knee pain,M25.56
15744761000119108: Mass of joint of right knee,M25.561
299384006: Knee joint - hot,M25.561
239733006: Anterior knee pain,M25.562
316791000119102: Pain in left knee,M25.562
321931000119102: Stiffness of left knee,M25.562
30989003: Knee pain,M25.569
15916931000119106: Pain of right ankle joint,M25.571
202490009: Ankle joint pain,M25.571
247373008: Ankle pain,M25.571
12247571000119109: Bilateral foot joint pain,M25.579
202381003: Knee joint effusion,M25.6
84445001: Joint stiffness,M25.6
298181000: Range of joint movement increased,M25.60
202606004: Clicking hip,M25.651
102482005: Growing pains,M25.8
84869007: Musculoskeletal symptom,M25.9
298266002: Joint problem,M25.9
34504007: Mandibular retrognathism,M26.04
386207004: Temporomandibular joint-pain-dysfunction syndrome,M26.60
235106005: Mandibular deviation,M26.61
50603008: Ankylosis of temporomandibular joint,M26.62
441708007: Swelling of lower jaw region,M27.0
109720002: Bilateral coronoid hyperplasia of mandible,M27.12
444552001: Hyperplasia of mandibular bone,M27.50
4058: Kawasaki disease,M30.3
75053002: Acute febrile mucocutaneous lymph node syndrome,M30.3
60555002: Hypersensitivity angiitis,M31.0
195353004: Granulomatosis with polyangiitis,M31.30
724601006: Vasculitis caused by antineutrophil cytoplasmic antibody,M31.30
195353004: Wegener's granulomatosis,M31.31
200936003: Lupus erythematosus,M32.9
55464009: Systemic lupus erythematosus,M32.9
"128460000: Systemic sclerosis, diffuse",M34.1
718224004: Progressive hemifacial atrophy,M34.1
4131: Scleroderma (Systemic sclerosis),M34.9
89155008: Systemic sclerosis,M34.9
195295006: Raynaud's disease,M35.0
4056: Collagen disease,M35.3
85551004: Hypermobility syndrome,M35.7
4927: Multisystem inflammatory syndrome in children (MIS-C),M35.81
105969002: Disorder of connective tissue,M35.9
128294001: Chronic inflammatory disorder,M35.9
398049005: Mixed collagen vascular disease,M35.9
4109: Connective tissue disorder,M35.9
128139000: Inflammatory disorder,M35.9
4165: Kyphosis,M40.0
431611000124108: Idiopathic kyphosis deformity of spine,M40.0
413428007: Acquired kyphosis,M40.00
414564002: Kyphosis deformity of spine,M40.00
268040001: Postural kyphosis,M40.209
298493002: Kyphosis of thoracic spine,M40.239
434471000124100: Secondary kyphosis,M40.265
405771009: Acquired kyphoscoliosis,M40.8
298392006: Scoliosis of cervical spine,M41.00
203646004: Adolescent idiopathic scoliosis,M41.10
203662005: Neuromuscular scoliosis,M41.2
405773007: Kyphoscoliosis deformity of spine,M41.2
20980008: Progressive infantile idiopathic scoliosis,M41.22
111266001: Acquired scoliosis,M41.40
298494008: Scoliosis of thoracic spine,M41.5
72992003: Thoracogenic scoliosis,M41.8
203638000: Kyphoscoliosis and scoliosis,M41.9
203639008: Idiopathic scoliosis,M41.9
298382003: Scoliosis deformity of spine,M41.9
30611007: Idiopathic scoliosis AND/OR kyphoscoliosis,M41.9
4151: Scoliosis or kyphosis,M41.9
4164: Scoliosis,M41.9
64217002: Curvature of spine,M41.9
712580000: Idiopathic scoliosis of thoracic spine,M41.9
713711000: Idiopathic scoliosis of thoracic and lumbar spine,M41.9
12903001: Acquired curvature of spine,M41.9
86587003: Platybasia,M42.1
240221008: Spondylolysis,M43.0
253124001: Myelodysplasia of spinal cord,M43.04
274152003: Spondylolisthesis,M43.1
45179004: Atlantoaxial subluxation,M43.1
690471000119100: History of fusion of thoracolumbar spine,M43.37
445242006: Os odontoideum,M43.4
298393001: Cervical kyphosis,M43.82
371082009: Arthritis of spine,M45.9
203196002: Chronic osteomyelitis-sacrum,M46.28
83561009: Spinal stenosis in cervical region,M48.02
76107001: Spinal stenosis,M48.06
202821008: Cervical spine instability,M50.3
299733008: Finding of spinal cord,M50.30
417525006: Magnetic resonance imaging of cervical spine abnormal,M51.10
34789001: Pain in the coccyx,M53.3
81680005: Neck pain,M54.2
23056005: Sciatica,M54.30
279043006: Pain in buttock,M54.31
320281000119104: Left side sciatica,M54.41
134407002: Chronic back pain,M54.5
278860009: Chronic low back pain,M54.5
279039007: Low back pain,M54.5
300956001: Low back strain,M54.5
61486003: Sacral back pain,M54.5
30473006: Pain in pelvis,M54.5
279038004: Thoracic back pain,M54.6
161891005: Backache,M54.9
26889001: Myositis,M60.9
128496001: Inflammatory disorder of muscle,M60.9
302858007: Osteoma,M61.0
203076007: Contracture of Achilles tendon,M62.4
203076007: Contracture of tendo achilles,M62.4
274141009: Tendon contracture,M62.5
88092000: Muscle atrophy,M62.50
203074005: Contracture of hamstring(s),M62.8
55033002: Muscle contracture,M62.8
"268006001: Muscle, ligament and fascia disorders",M62.80
240131006: Rhabdomyolysis,M62.82
285674009: Unable to weight-bear,M62.9
129565002: Disorder of muscle,M62.9
15636291000119109: Bilateral trigger fingers,M65.3
202379000: Hip joint effusion,M65.4
287021004: Synovitis/tenosynovitis - knee,M65.4
42786005: Snapping thumb syndrome,M65.4
35929003: Brown's tendon sheath syndrome,M65.9
67801009: Tenosynovitis,M65.9
318601000119103: Prepatellar bursitis of left knee,M70.50
95880003: Soft tissue infection,M72.6
37785001: Patellar tendonitis,M76.50
11654001: Achilles tendinitis,M76.6
15675441000119107: Tendonitis of right foot,M76.601
23680005: Enthesopathy,M76.9
2733002: Heel pain,M77.4
74773005: Sesamoiditis,M77.4
34840004: Tendinitis,M77.9
287047008: Pain in left leg,M79
68962001: Muscle pain,M79.1
82991003: Generalized aches and pains,M79.1
426899007: Pain provoked by walking,M79.18
16269008: Neuralgia,M79.2
279981003: Peripheral neuropathic pain,M79.2
403597003: Cutaneous allodynia,M79.2
90834002: Pain in limb,M79.60
102556003: Pain in upper limb,M79.601
12247531000119106: Pain in bilateral lower legs,M79.604
287048003: Pain in right leg,M79.604
10601006: Pain in lower limb,M79.609
27635008: Aching pain,M79.609
12584003: Bone pain,M79.62
299060006: Swelling of finger,M79.641
300955002: Pain in thumb,M79.641
287045000: Pain in left arm,M79.642
316961000119107: Pain of right thigh,M79.651
47933007: Foot pain,M79.67
15634431000119102: Pain in both feet,M79.672
310484009: C/O - pain in hallux,M79.672
316751000119107: Pain in left foot,M79.672
203082005: Fibromyalgia,M79.7
24693007: Fibromyositis,M79.7
95417003: Primary fibromyalgia syndrome,M79.7
239953001: Soft tissue lesion,M79.9
275897000: O/E - soft tissue swelling,M79.9
53174001: Disuse osteoporosis,M80.88
64859006: Osteoporosis,M80.88
50279003: Metabolic bone disease,M81
276661002: Primary osteoporosis,M81.0
3345002: Idiopathic osteoporosis,M81.0
703264005: Secondary osteoporosis,M81.8
704070001: Stress fracture of ankle,M84.373
702561005: Insufficiency fracture,M84.5
137751000119105: History of pathological vertebral fracture,M84.8
203467005: Solitary bone cyst,M85.40
203470009: Fibrous cortical defect,M85.40
203447001: Drug-induced osteoporosis with pathological fracture,M85.7
40308000: Steroid-induced osteopenia,M85.80
735615006: Osteopenia due to disuse,M85.80
139291000119101: Osteopenia with high fracture risk,M85.89
310254004: Bone densimetry abnormal,M85.9
312894000: Osteopenia,M85.9
78441005: Osteopenia,M85.9
8735: Osteopenia,M85.9
118953000: Bone finding,M85.9
76069003: Disorder of bone,M85.9
63375009: Brodie's abscess,M86.0
287052003: Acute osteomyelitis of hip,M86.05
203193005: Chronic osteomyelitis-cervical spine,M86.10
268018005: Chronic osteomyelitis of the pelvic region and/or thigh,M86.2
67322009: Subacute osteomyelitis,M86.20
287052003: Acute osteomyelitis - hip,M86.30
287050006: Acute osteomyelitis - elbow,M86.32
203196002: Chronic osteomyelitis of sacrum,M86.36
240151005: Chronic multifocal osteomyelitis,M86.7
409778008: Bone abscess,M86.8
60168000: Osteomyelitis,M86.89
40970001: Chronic osteomyelitis,M86.9
444849002: Avascular necrosis of bone of hip,M87.05
15638811000119102: Bilateral calcaneal apophysitis,M92.20
72047008: Osgood Schlatter disease,M92.5
23890000: Calcaneal apophysitis,M92.9
26460006: Slipped upper femoral epiphysis,M93.00
203376002: Non-traumatic chronic slipped upper femoral epiphysis,M93.002
64109004: Costal chondritis,M94.0
719225007: Abnormal prominence of clavicle,M95.7
1901000119101: History of cervical spine fusion,M96
72272002: Non malignant mast cell disease,M96.09
410818009: Pseudoarthrosis,M96.2
31511007: Pseudoarthrosis,M96.6
249706005: Rib hump,M96.891
19351000: Acute glomerulonephritis,N00
77182004: Membranous glomerulonephritis,N02.0
441872001: Renal scarring,N02.8
197679002: Glomerular disease,N03
52777008: Bilateral small kidney,N03.2
52254009: Nephrotic syndrome,N04
312975006: Microalbuminuria,N05.9
68815009: SLE glomerulonephritis syndrome,N05.9
236403004: Focal segmental glomerulosclerosis,N08.1
36689008: Acute pyelonephritis,N10
4553: Pyelonephritis,N10
95575002: Obstruction of pelviureteric junction,N13.0
20018005: Occlusion of ureter,N13.1
69758005: Hydroureter,N13.1
721169007: Hydronephrosis due to ureteral obstruction,N13.1
95588004: Obstruction of urethra,N13.1
86249007: Obstructive nephropathy,N13.3
236593005: Acquired hydronephrosis,N13.30
40068008: Hydroureteronephrosis,N13.30
43064006: Hydronephrosis,N13.30
4502: Hydronephrosis,N13.30
721168004: Hydronephrosis due to congenital ureteropelvic junction obstruction,N13.30
4510: Vesicoureteral reflux,N13.7
430231000124105: Primary left vesicoureteral reflux,N13.70
430091000124101: Primary right vesicoureteral reflux,N13.70
369001000119100: Urinary tract infection caused by Klebsiella,N15.1
14350001000004108: Acute injury of kidney,N17
4540: Acute renal failure,N17
129561000119108: Prerenal renal failure,N17.9
140031000119103: Acute nontraumatic kidney injury,N17.9
14669001: Acute renal failure syndrome,N17.9
236424009: Acute renal impairment,N17.9
42399005: Renal failure syndrome,N17.9
4541: Acute renal failure requiring temporary dialysis,N17.9
4542: Acute renal failure treated with permanent dialysis,N17.9
4557: Renal failure requiring temporary dialysis,N17.9
35455006: Acute tubular necrosis,N17.9
3938: Preoperative renal failure (creatinine > 2),N17.9
4558: Renal failure requiring permanent dialysis,N18
90708001: Kidney disease,N18
